/baseline,/kmeans_10,/kmeans_20,/kmeans_30,/kmeans_50,/kmeans_55,/kmeans_60,/kmeans_80,/kmeans_85,/kmeans_90,/kmeans_95
0.0000000000,0.0129492000,0.0129492000,0.0129492000,0.0129492000,0.0129492000,0.0129492000,0.0129492000,0.0129492000,0.0129492000,0.0129492000,0.0129492000
0.0000000000,0.0571753000,0.0590662000,0.0590662000,0.0590662000,0.0590662000,0.0590662000,0.0590662000,0.0590662000,0.0590662000,0.0590662000,0.0590662000
0.0000000000,0.0358119000,0.0359791000,0.0359791000,0.0359791000,0.0359791000,0.0359791000,0.0359791000,0.0359791000,0.0359791000,0.0359791000,0.0359791000
0.0000000000,0.1104640000,0.1444360000,0.1444360000,0.1444360000,0.1444360000,0.1444360000,0.1444360000,0.1444360000,0.1444360000,0.1444360000,0.1444360000
0.0000000000,0.0973258000,0.1534930000,0.1534930000,0.1534930000,0.1534930000,0.1534930000,0.1534930000,0.1534930000,0.1534930000,0.1534930000,0.1534930000
0.0000000000,0.0346709000,0.0346709000,0.0346709000,0.0346709000,0.0346709000,0.0346709000,0.0346709000,0.0346709000,0.0346709000,0.0346709000,0.0346709000
0.0000000000,0.0422393000,0.1795420000,0.1795420000,0.1795420000,0.1795420000,0.1795420000,0.1795420000,0.1795420000,0.1795420000,0.1795420000,0.1795420000
0.0000000000,0.2477300000,0.2836990000,0.2836990000,0.2836990000,0.2836990000,0.2836990000,0.2836990000,0.2836990000,0.2836990000,0.2836990000,0.2836990000
0.0000000000,0.2404180000,0.3112750000,0.3112750000,0.3112750000,0.3112750000,0.3112750000,0.3112750000,0.3112750000,0.3112750000,0.3112750000,0.3112750000
0.0000000000,0.2447320000,0.3536740000,0.3536740000,0.3536740000,0.3536740000,0.3536740000,0.3536740000,0.3536740000,0.3536740000,0.3536740000,0.3536740000
0.0000000000,0.3088350000,0.4671030000,0.4671030000,0.4671030000,0.4671030000,0.4671030000,0.4671030000,0.4671030000,0.4671030000,0.4671030000,0.4671030000
0.0000000000,0.2899280000,0.4720520000,0.4720520000,0.4720520000,0.4720520000,0.4720520000,0.4720520000,0.4720520000,0.4720520000,0.4720520000,0.4720520000
0.0000000000,0.3692200000,0.5421640000,0.5421640000,0.5421640000,0.5421640000,0.5421640000,0.5421640000,0.5421640000,0.5421640000,0.5421640000,0.5421640000
0.0000000000,0.4130280000,0.5576210000,0.5576210000,0.5576210000,0.5576210000,0.5576210000,0.5576210000,0.5576210000,0.5576210000,0.5576210000,0.5576210000
0.0000000000,0.3522670000,0.5516220000,0.5516220000,0.5516220000,0.5516220000,0.5516220000,0.5516220000,0.5516220000,0.5516220000,0.5516220000,0.5516220000
0.0000000000,0.4539880000,0.5857960000,0.5857960000,0.5857960000,0.5857960000,0.5857960000,0.5857960000,0.5857960000,0.5857960000,0.5857960000,0.5857960000
