/baseline,/kmeans_10,/kmeans_20,/kmeans_30,/kmeans_50,/kmeans_55,/kmeans_60,/kmeans_80,/kmeans_85,/kmeans_90,/kmeans_95
0.0000000000,4.1254800000,4.1254800000,4.1254800000,4.1254800000,4.1254800000,4.1254800000,4.1254800000,4.1254800000,4.1254800000,4.1254800000,4.1254800000
0.0000000000,3.6875200000,3.6838400000,3.6838400000,3.6838400000,3.6838400000,3.6838400000,3.6838400000,3.6838400000,3.6838400000,3.6838400000,3.6838400000
0.0000000000,3.7096800000,3.7002200000,3.7002200000,3.7002200000,3.7002200000,3.7002200000,3.7002200000,3.7002200000,3.7002200000,3.7002200000,3.7002200000
0.0000000000,3.6907500000,3.6852900000,3.6852900000,3.6852900000,3.6852900000,3.6852900000,3.6852900000,3.6852900000,3.6852900000,3.6852900000,3.6852900000
0.0000000000,3.6545000000,3.6278300000,3.6278300000,3.6278300000,3.6278300000,3.6278300000,3.6278300000,3.6278300000,3.6278300000,3.6278300000,3.6278300000
0.0000000000,3.7089800000,3.6546700000,3.6546700000,3.6546700000,3.6546700000,3.6546700000,3.6546700000,3.6546700000,3.6546700000,3.6546700000,3.6546700000
0.0000000000,3.6453000000,3.5438400000,3.5438400000,3.5438400000,3.5438400000,3.5438400000,3.5438400000,3.5438400000,3.5438400000,3.5438400000,3.5438400000
0.0000000000,3.5953200000,3.3833400000,3.3833400000,3.3833400000,3.3833400000,3.3833400000,3.3833400000,3.3833400000,3.3833400000,3.3833400000,3.3833400000
0.0000000000,3.5072600000,3.0692200000,3.0692200000,3.0692200000,3.0692200000,3.0692200000,3.0692200000,3.0692200000,3.0692200000,3.0692200000,3.0692200000
0.0000000000,3.5464300000,2.8728800000,2.8728800000,2.8728800000,2.8728800000,2.8728800000,2.8728800000,2.8728800000,2.8728800000,2.8728800000,2.8728800000
0.0000000000,3.2253300000,2.3594800000,2.3594800000,2.3594800000,2.3594800000,2.3594800000,2.3594800000,2.3594800000,2.3594800000,2.3594800000,2.3594800000
0.0000000000,2.9747800000,2.1220600000,2.1220600000,2.1220600000,2.1220600000,2.1220600000,2.1220600000,2.1220600000,2.1220600000,2.1220600000,2.1220600000
0.0000000000,2.6792500000,1.8358200000,1.8358200000,1.8358200000,1.8358200000,1.8358200000,1.8358200000,1.8358200000,1.8358200000,1.8358200000,1.8358200000
0.0000000000,2.4771800000,1.7027600000,1.7027600000,1.7027600000,1.7027600000,1.7027600000,1.7027600000,1.7027600000,1.7027600000,1.7027600000,1.7027600000
0.0000000000,2.5056600000,1.6743800000,1.6743800000,1.6743800000,1.6743800000,1.6743800000,1.6743800000,1.6743800000,1.6743800000,1.6743800000,1.6743800000
0.0000000000,2.2130400000,1.5282200000,1.5282200000,1.5282200000,1.5282200000,1.5282200000,1.5282200000,1.5282200000,1.5282200000,1.5282200000,1.5282200000
0.0000000000,2.2114000000,1.5603300000,1.5603300000,1.5603300000,1.5603300000,1.5603300000,1.5603300000,1.5603300000,1.5603300000,1.5603300000,1.5603300000
0.0000000000,1.9161500000,1.2992600000,1.2992600000,1.2992600000,1.2992600000,1.2992600000,1.2992600000,1.2992600000,1.2992600000,1.2992600000,1.2992600000
0.0000000000,1.9091900000,1.2420900000,1.2420900000,1.2420900000,1.2420900000,1.2420900000,1.2420900000,1.2420900000,1.2420900000,1.2420900000,1.2420900000
0.0000000000,1.8524300000,1.1614100000,1.1614100000,1.1614100000,1.1614100000,1.1614100000,1.1614100000,1.1614100000,1.1614100000,1.1614100000,1.1614100000
0.0000000000,1.7242800000,1.0846800000,1.0846800000,1.0846800000,1.0846800000,1.0846800000,1.0846800000,1.0846800000,1.0846800000,1.0846800000,1.0846800000
0.0000000000,1.7759100000,1.0962000000,1.0962000000,1.0962000000,1.0962000000,1.0962000000,1.0962000000,1.0962000000,1.0962000000,1.0962000000,1.0962000000
0.0000000000,1.8485400000,1.1948400000,1.1948400000,1.1948400000,1.1948400000,1.1948400000,1.1948400000,1.1948400000,1.1948400000,1.1948400000,1.1948400000
0.0000000000,1.5324800000,0.9468400000,0.9468400000,0.9468400000,0.9468400000,0.9468400000,0.9468400000,0.9468400000,0.9468400000,0.9468400000,0.9468400000
0.0000000000,1.5196300000,0.9376600000,0.9376600000,0.9376600000,0.9376600000,0.9376600000,0.9376600000,0.9376600000,0.9376600000,0.9376600000,0.9376600000
0.0000000000,1.4254300000,0.8807000000,0.8807000000,0.8807000000,0.8807000000,0.8807000000,0.8807000000,0.8807000000,0.8807000000,0.8807000000,0.8807000000
0.0000000000,1.4837100000,0.8679020000,0.8679020000,0.8679020000,0.8679020000,0.8679020000,0.8679020000,0.8679020000,0.8679020000,0.8679020000,0.8679020000
0.0000000000,1.5758900000,0.9955280000,0.9955280000,0.9955280000,0.9955280000,0.9955280000,0.9955280000,0.9955280000,0.9955280000,0.9955280000,0.9955280000
0.0000000000,1.3480500000,0.8101690000,0.8101690000,0.8101690000,0.8101690000,0.8101690000,0.8101690000,0.8101690000,0.8101690000,0.8101690000,0.8101690000
0.0000000000,1.3260300000,0.7665780000,0.7665780000,0.7665780000,0.7665780000,0.7665780000,0.7665780000,0.7665780000,0.7665780000,0.7665780000,0.7665780000
0.0000000000,1.2383600000,0.7454760000,0.7454760000,0.7454760000,0.7454760000,0.7454760000,0.7454760000,0.7454760000,0.7454760000,0.7454760000,0.7454760000
0.0000000000,1.2986000000,0.7705190000,0.7705190000,0.7705190000,0.7705190000,0.7705190000,0.7705190000,0.7705190000,0.7705190000,0.7705190000,0.7705190000
