baseline,kmeans_80,kmeans_90
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
0,2995200,2995200,2995200
