baseline,kmeans_90
0.0000000000,0.5394150000,0.5394150000
0.0000000000,0.5160480000,0.6094550000
0.0000000000,0.5147970000,0.5192840000
0.0000000000,0.5218340000,0.6633650000
0.0000000000,0.5367680000,0.5407150000
0.0000000000,0.5431150000,0.7113090000
0.0000000000,0.5449240000,0.7595100000
0.0000000000,0.5424060000,0.8198470000
0.0000000000,0.5354770000,0.8329590000
0.0000000000,0.5498370000,0.8268050000
0.0000000000,0.5388980000,0.8506510000
0.0000000000,0.5497270000,0.8577980000
0.0000000000,0.5255640000,0.8654130000
0.0000000000,0.5492200000,0.8659020000
0.0000000000,0.5285120000,0.8750170000
0.0000000000,0.5365190000,0.8672430000
0.0000000000,0.5354520000,0.8683790000
0.0000000000,0.5466800000,0.8514880000
0.0000000000,0.5397730000,0.8757170000
0.0000000000,0.5421730000,0.8771640000
0.0000000000,0.5482840000,0.8866250000
0.0000000000,0.5172030000,0.8328820000
0.0000000000,0.5480850000,0.8625480000
0.0000000000,0.5457050000,0.8882340000
0.0000000000,0.5498940000,0.8773730000
0.0000000000,0.5338910000,0.8902170000
0.0000000000,0.5369820000,0.8897220000
0.0000000000,0.5224290000,0.8805910000
0.0000000000,0.5171520000,0.8911070000
0.0000000000,0.5263430000,0.8888620000
0.0000000000,0.5094780000,0.8928330000
0.0000000000,0.5343120000,0.8930130000
0.0000000000,0.5365990000,0.8961880000
0.0000000000,0.5298650000,0.8962990000
0.0000000000,0.5565060000,0.8941380000
0.0000000000,0.5493930000,0.8988790000
0.0000000000,0.5517380000,0.9008620000
0.0000000000,0.5423330000,0.9022870000
0.0000000000,0.5430290000,0.8994700000
0.0000000000,0.5475960000,0.8890170000
0.0000000000,0.5524180000,0.8887560000
0.0000000000,0.5069480000,0.9015830000
0.0000000000,0.5548990000,0.9038190000
0.0000000000,0.5222740000,0.8919400000
0.0000000000,0.5562580000,0.9034540000
0.0000000000,0.5654680000,0.9057440000
0.0000000000,0.5199010000,0.9066760000
0.0000000000,0.5481670000,0.9032730000
0.0000000000,0.5552410000,0.9064680000
0.0000000000,0.5511570000,0.9003970000
0.0000000000,0.5214460000,0.9045070000
